ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
12355,"Liudmyla Blonska (Kovalenko-, -Kovalova)",F,25,174,64,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
12356,Liudmyla Leonidivna Blonska (Shevchuk-),F,30,175,62,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
12731,Anna Andreyevna Bogdanova,F,23,178,66,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
13123,Catherine Louise Bond-Mills,F,24,183,67,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
13123,Catherine Louise Bond-Mills,F,28,183,67,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
14771,Sabine Braun,F,19,174,65,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
14771,Sabine Braun,F,23,174,65,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
14771,Sabine Braun,F,27,174,65,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,Bronze
14771,Sabine Braun,F,31,174,65,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
14771,Sabine Braun,F,35,174,65,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
15299,Nadine Martina Broersen,F,22,171,62,Netherlands,NED,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
15299,Nadine Martina Broersen,F,26,171,62,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
15603,Wendy Renee Brown,F,22,180,70,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
16459,Svetlana Vladimirovna Buraga (-Besprozvannaya),F,23,168,56,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
16723,Shelia R. Burrell,F,28,173,64,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
16723,Shelia R. Burrell,F,32,173,64,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
17215,Kateina Cachov,F,26,171,63,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
18180,Regla Mara Crdeas Telo,F,21,181,77,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
18650,"Lelia Kymberly ""Kym"" Carter (-Begel)",F,28,188,80,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
20486,Tatyana Sergeyevna Chernova,F,20,189,63,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Bronze
20486,Tatyana Sergeyevna Chernova,F,24,189,63,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,Bronze
21391,Kamila Chudzik,F,21,176,64,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
21772,Birgit Clarius (-He),F,27,176,65,Germany,GER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
22073,"Inmaculada ""Inma"" Clops Gasull",F,28,170,60,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
22073,"Inmaculada ""Inma"" Clops Gasull",F,32,170,60,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
22486,Marie Collonvill,F,30,163,56,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
22486,Marie Collonvill,F,34,163,56,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
23468,Clova E. Court (Cameron-),F,32,175,72,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
23574,Sarah Cowley,F,28,176,67,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
24793,Ivona Dadic,F,18,179,65,Austria,AUT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
24793,Ivona Dadic,F,22,179,65,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
25817,Sharon Day (-Monroe),F,27,180,73,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
25878,Marisa de Aniceto,F,25,162,52,France,FRA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
28611,Svetla Stefanova Dimitrova (-Pishtikova),F,18,171,65,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
28611,Svetla Stefanova Dimitrova (-Pishtikova),F,22,171,65,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
29009,Nataliya Volodymyrivna Dobrynska,F,22,182,70,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
29009,Nataliya Volodymyrivna Dobrynska,F,26,182,70,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Gold
29009,Nataliya Volodymyrivna Dobrynska,F,30,182,70,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
29381,Dong Yuping,F,25,176,68,China,CHN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
29988,Birgit Dressel,F,24,172,65,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
32710,Jessica Phyllis Ennis-Hill,F,26,165,57,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,Gold
32710,Jessica Phyllis Ennis-Hill,F,30,165,57,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,Silver
33071,Karin Ertl (Specht-),F,26,178,65,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
33071,Karin Ertl (Specht-),F,30,178,65,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
33526,Sabine Christine Everts (-Thomaskamp),F,23,169,56,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,Bronze
33526,Sabine Christine Everts (-Thomaskamp),F,27,169,56,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
34552,Alysbeth Flix Boyer,F,23,170,57,Puerto Rico,PUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
35792,Jane Christina Flemming,F,23,168,56,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
35792,Jane Christina Flemming,F,27,168,56,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
36005,Alina Yanivna Fodorova,F,27,175,70,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
36506,Hyleas Christine Fountain,F,27,170,64,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Silver
36506,Hyleas Christine Fountain,F,31,170,64,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
38264,Prameela Gudandda Ganapathy (-Aiyappa),F,23,167,57,India,IND,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
38264,Prameela Gudandda Ganapathy (-Aiyappa),F,31,167,57,India,IND,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
38639,Magalys Garca Leliebre,F,24,178,71,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
38639,Magalys Garca Leliebre,F,28,178,71,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
39720,Conceio Aparecida Geremias,F,28,172,64,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
39720,Conceio Aparecida Geremias,F,32,172,64,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
41266,"Enezaide do Rosrio ""Naide"" da Vera Cruz Gomes",F,24,181,70,Portugal,POR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
41786,Tatyana Vladimirovna Gordeyeva,F,31,180,67,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
42186,Aiga Grabuste,F,20,178,66,Latvia,LAT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
42186,Aiga Grabuste,F,24,178,66,Latvia,LAT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,27,175,62,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,31,175,62,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,35,175,62,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
44150,Diane Claire Guthrie-Gresham,F,24,174,66,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
44732,Kim Hagger,F,22,171,62,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
44732,Kim Hagger,F,26,171,62,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
45833,"Sharon L. Hanson (Hainer-, -Lowery)",F,30,168,66,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
46699,Tiia Erika Hautala,F,24,171,65,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
46699,Tiia Erika Hautala,F,28,171,65,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
46699,Tiia Erika Hautala,F,32,171,65,Finland,FIN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
46704,Jacqueline Hautenauve,F,26,NA,NA,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
46898,Louise Victoria Hazel,F,26,167,58,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
47357,Michaela Hejnov,F,24,168,61,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
47748,Joanne Carol Henry,F,20,175,60,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
48437,"Jantien Johanna Alida ""Tineke"" Hidding",F,25,174,62,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
48437,"Jantien Johanna Alida ""Tineke"" Hidding",F,29,174,62,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
49407,Julie Caroline Hollman,F,31,177,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
49830,Laurien Hoos,F,24,180,66,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
50537,Hsu Huei-Ying,F,19,170,56,Chinese Taipei,TPE,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
51652,Sofia Ifantidou,F,27,162,54,Greece,GRE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
51652,Sofia Ifantidou,F,31,162,54,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
51758,Laura Ikauniece-Admidia,F,20,179,63,Latvia,LAT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
51758,Laura Ikauniece-Admidia,F,24,179,63,Latvia,LAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
52081,Rita Inncsi,F,21,190,73,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
52081,Rita Inncsi,F,25,190,73,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
52081,Rita Inncsi,F,29,190,73,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
52309,Liudmyla Dmytrivna Iosypenko,F,27,175,69,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
53533,Jane Leanne Jamieson,F,21,170,60,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
53533,Jane Leanne Jamieson,F,25,170,60,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
54740,Ji Jeong-Mi,F,25,165,55,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
55295,"Sabine John (Mbius-, -Paetz)",F,30,178,66,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,Silver
55391,"Jacquelyn Kate ""Jackie"" Johnson",F,23,173,62,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
55487,Katarina Mary Johnson-Thompson,F,19,183,68,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
55487,Katarina Mary Johnson-Thompson,F,23,183,68,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
55606,Akela Jones,F,21,186,77,Barbados,BAR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
55976,Janice Josephs,F,22,165,54,South Africa,RSA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
56085,"Jacqueline ""Jackie"" Joyner-Kersee",F,22,178,70,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,Silver
56085,"Jacqueline ""Jackie"" Joyner-Kersee",F,26,178,70,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,Gold
56085,"Jacqueline ""Jackie"" Joyner-Kersee",F,30,178,70,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,Gold
56085,"Jacqueline ""Jackie"" Joyner-Kersee",F,34,178,70,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
56495,Sofiya Kabanova,F,30,182,67,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
56893,Anu Kaljurand,F,23,170,56,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
57120,Maria Barbara Kamrowska (-Nowak),F,26,174,67,Poland,POL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
57164,Kaie Kand,F,24,175,62,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
58272,Svetlana Anatolyevna Kazanina,F,24,176,62,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
58272,Svetlana Anatolyevna Kazanina,F,28,176,62,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
58272,Svetlana Anatolyevna Kazanina,F,32,176,62,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
58454,Jolanda Keizer,F,23,183,70,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
58602,Niina Anneli Kelo,F,28,178,70,Finland,FIN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
58925,Sonja Kesselschlger,F,26,178,65,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
58925,Sonja Kesselschlger,F,30,178,65,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
61368,Elika Kluinov,F,24,178,70,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
61368,Elika Kluinov,F,28,178,70,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
61371,Carolina Evelyn Klft,F,21,178,65,Sweden,SWE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,Gold
62794,Dina Koritskaya,F,25,173,62,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
64184,Xnia Krizsn,F,23,172,63,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
65094,Olga Ivanovna Kurban,F,20,171,61,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
65094,Olga Ivanovna Kurban,F,24,171,61,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
65575,Ragne Siv Kytl (Backman-),F,23,177,67,Finland,FIN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
66025,Zuzana Lajbnerov (-Valentov),F,25,177,74,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
67106,Iammogapi Launa,F,25,176,71,Papua New Guinea,PNG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
67106,Iammogapi Launa,F,30,176,71,Papua New Guinea,PNG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
67616,Yelena Vladimirovna Lebedenko,F,25,177,63,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
68944,Odile Lesage (-Diagana),F,23,178,65,France,FRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
69221,Denise Lewis,F,23,176,68,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,Bronze
69221,Denise Lewis,F,28,176,68,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,Gold
69221,Denise Lewis,F,31,176,68,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
70576,Liu Haili,F,25,170,62,China,CHN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
70728,Judy Earline Veronica Livermore-Simpson,F,23,182,72,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
70728,Judy Earline Veronica Livermore-Simpson,F,27,182,72,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
71631,Tiffany Lott-Hogan,F,29,172,63,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
72716,Ma Chun-Ping,F,20,176,62,Chinese Taipei,TPE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
72977,Julia Mchtig,F,26,187,80,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
73927,Yana Eduardovna Maksimova,F,19,182,70,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
73927,Yana Eduardovna Maksimova,F,23,182,70,Belarus,BLR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
74882,Ida Marcussen,F,20,173,67,Norway,NOR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
74882,Ida Marcussen,F,24,173,67,Norway,NOR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
75150,Marsha Mark-Baird,F,26,170,60,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
75150,Marsha Mark-Baird,F,30,170,60,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
76027,Manuela Marxer (-Lippuner),F,18,172,60,Liechtenstein,LIE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Heptathlon,NA
76027,Manuela Marxer (-Lippuner),F,26,172,60,Liechtenstein,LIE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
76027,Manuela Marxer (-Lippuner),F,30,172,60,Liechtenstein,LIE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
77870,Chantae McMillan,F,24,173,69,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
78512,Hanna Anatolivna Melnychenko-Kasianova (-Frullani),F,25,178,67,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
78512,Hanna Anatolivna Melnychenko-Kasianova (-Frullani),F,29,178,67,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
78512,Hanna Anatolivna Melnychenko-Kasianova (-Frullani),F,33,178,67,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
79945,Heather Miller-Koch,F,29,175,64,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
82435,Svetlana Moskalets (-Akimova),F,27,172,62,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
83181,Joanne Carol Mulliner,F,22,175,68,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
84034,Patricia Nadler,F,27,178,63,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
84374,Yuki Nakata,F,27,167,55,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
84463,Antoinette Nana Djimou Ida,F,23,174,69,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
84463,Antoinette Nana Djimou Ida,F,26,174,69,France,FRA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,NA
84463,Antoinette Nana Djimou Ida,F,31,174,69,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
84660,Liliana Nstase (-Alexandru),F,29,170,65,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
84660,Liliana Nstase (-Alexandru),F,33,170,65,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
84686,"LeShundra ""DeDee"" Nathan",F,32,180,75,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
84731,Irina Vladimirovna Naumenko-Karpova,F,20,179,64,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
